"Argument ID";"Conclusion";"Stance";"Premise";"Self-direction: thought";"Self-direction: action";"Stimulation";"Hedonism";"Achievement";"Power: dominance";"Power: resources";"Face";"Security: personal";"Security: societal";"Tradition";"Conformity: rules";"Conformity: interpersonal";"Humility";"Benevolence: caring";"Benevolence: dependability";"Universalism: concern";"Universalism: nature";"Universalism: tolerance";"Universalism: objectivity"
"A22021";"We should subsidize journalism";"in favor of";"We should subsidize journalism so that journalists can cover the most important issues, rather than only the most profitable ones.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A19192";"We should stop the development of autonomous cars";"against";"autonomous cars are so valuable for the future in an ever more congested world so we need to invest more in them.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A20089";"We should prohibit flag burning";"in favor of";"the flag is an american symbol of honer and integrity and should not be destroyed as this is negative to the values shared by the majority of americans.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A18303";"We should subsidize vocational education";"against";"vocational education caters to trades that will become obsolete in the future.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A23008";"We should legalize organ trade";"against";"the organ trade should not be legalized as it would invariably lead to targeting of the most vulnerable and least affluent of society.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A19389";"We should abolish intellectual property rights";"against";"intellectual property rights shouldn't be abolished because it helps to ensure the originator is reimbursed accurately for their ideas.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A12206";"We should ban whaling";"against";"whaling is part of a great number of cultures";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A24208";"We should ban targeted killing";"against";"in a certain way, the selective assassination in politics is beneficial for countries that have this, as a means to alleviate their problems";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A18351";"We should ban human cloning";"in favor of";"human cloning should be banned as it is unnatural and serves no purpose in the world. individuality would be lost.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22053";"The use of public defenders should be mandatory";"against";"if you have the financial means to employ the best defence, why shouldn't you be able to do that if it gives you a better chance of being found not guilty.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A21487";"We should ban human cloning";"in favor of";"we should ban human cloning because cloning takes away from the unique individuality of a person.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A20099";"We should ban private military companies";"in favor of";"we should ban private military companies because war for hire is a bad practice, a dangerous one.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A18040";"We should subsidize Wikipedia";"against";"it may effect its impartiality, governments  may use their funding to influence editors.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A18202";"Surrogacy should be banned";"against";"surrogacy allows women to have a child who would not otherwise be able to become a mother";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A23035";"We should adopt gender-neutral language";"in favor of";"we should adopt gender-neutral language to make sure everyone is included";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A21459";"We should subsidize vocational education";"against";"vocational education should not be subsidized as it would place extra strain on the education budget.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A23280";"Blockade of the Gaza Strip should be ended";"against";"given a country right to security and self-preservation, a blockade could be affected in international waters. This has been practiced for some time now, including when Britain and the U.S. blockaded Germany and Japan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A25216";"The vow of celibacy should be abandoned";"against";"the vow of celibacy should be up to each individual.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A06001";"The vow of celibacy should be abandoned";"against";"keeping moral strength is important to society and refraining from sex is one way to do it";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A07042";"Entrapment should be legalized";"in favor of";"entrapment is sometimes a necessary tool to get the needed proof of criminal activity.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A19028";"The vow of celibacy should be abandoned";"in favor of";"normal men and women need the ability to respond to their sexual needs.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22095";"We should prohibit women in combat";"against";"We should not prohibit this because women have shown that they can do jobs and participate in important combat strategies.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A12248";"The vow of celibacy should be abandoned";"against";"the marriage would be a big distraction to priests and they should devote their life and time to god and preaching";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A19369";"We should cancel pride parades";"in favor of";"people dont want to have gay people thrown in their face if they dont approve of them";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A25497";"We should subsidize stay-at-home dads";"in favor of";"men deserve the same rights as women when it comes to caring for their children.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A21472";"We should limit judicial activism";"against";"our laws need to evolve with the times we are living in";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A25142";"We should legalize cannabis";"in favor of";"due to so much controversy and contraband of this substance, it would save many deaths";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A25322";"We should ban human cloning";"against";"without further testing and experimentation, the outcome of human cloning will never be known so should not be banned.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22419";"We should limit executive compensation";"in favor of";"the executives already earn enough money to give more incentives, those incentives have to go to steps below where they are necessary";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A07091";"We should ban targeted killing";"against";"targetted killing could potentially help reduce the number of crimes if terrorists are killed before they can cause more harm";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A09012";"We should fight for the abolition of nuclear weapons";"against";"we need to keep our country safe and protected";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A08012";"We should ban human cloning";"in favor of";"humans don't have the right to play god with genetics";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A03001";"We should introduce compulsory voting";"in favor of";"where compulsory voting exists, in countries like australia, participation rates are the highest in the world. this inevitably leads to more truly representative democracy.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A09040";"We should ban cosmetic surgery for minors";"in favor of";"Children are not able to consent or conceptualize permanent changes which result from cosmetic surgery.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22319";"We should abolish zoos";"against";"many zoos are involved in conservation projects- without them animals would go extinct";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22290";"Payday loans should be banned";"in favor of";"these loans are predatory and contain extremely high interest rates";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A21446";"We should abandon the use of school uniform";"against";"school uniforms help stop bullying because when people are similarly dressed, nobody is made to feel inferior.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A25128";"We should legalize prostitution";"against";"We should not legalize prostitution as it will only lead to more people trafficking and underage people being lured into this kind of work as people seek to make more money .";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A18370";"We should adopt gender-neutral language";"against";"gender-neutral language is unnecessary.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A12438";"We should legalize organ trade";"in favor of";"legal organ trade would help prevent wait lists";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A23366";"We should abolish intellectual property rights";"in favor of";"we should have free and open discourse of all ideas.  intellectual property prevents this and stunts our collective growth.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A10007";"We should ban cosmetic surgery for minors";"against";"minors should be allowed to have cosmetic surgery as long as their parents help make the decision. some cosmetic surgery would make a child with a deformity have better self esteem.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"D27094";"There should be a ban on Bandhs";"in favor of";"Most of the bandhs results in violence. Some political parties and organizations intentionally causes violence by setting public properties on fire, by destroying vehicles and by injuring the common people.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A20437";"We should legalize polygamy";"against";"polygamy leads to jealousies within relationships and is outdated and while it may have had a purpose in certain cultures in past times, there is noo need in the modern era";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A15012";"We should legalize sex selection";"against";"There is no certainty that the process will be a success, and couples may end up wasting time and money.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A25346";"We should prohibit flag burning";"against";"flag burning allows individuals to show their discontent with a country's policies in a peaceful way.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A20485";"We should abolish the three-strikes laws";"against";"with this law, the victim is given more security and we make sure that the perpetrator does not relapse in other crimes.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A12441";"We should introduce compulsory voting";"in favor of";"more voters would boost voter turnout.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A18153";"We should adopt a zero-tolerance policy in schools";"against";"we shouldn't adopt a zero-tolerance policy in schools because a misunderstanding can cause innocent students to be suspended or expelled";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22044";"We should abolish zoos";"against";"Breeding programs in zoos are saving many animals from extinction. Without these programs in zoos we would be losing losing many more species from the world.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A21249";"Blockade of the Gaza Strip should be ended";"in favor of";"The blockade is a waste of political and economic capital which could be used for valuable reforms inside of Israel.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A19188";"We should adopt an austerity regime";"in favor of";"an austerity regime would help to get our country back on a solid financial footing.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A25160";"We should introduce compulsory voting";"in favor of";"compulsory voting would see to it that we have the person the people, all the people, truly want in each area of our government.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A23455";"We should abolish capital punishment";"against";"Giving a killer the death sentence will stop them  doing it again";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A25196";"We should adopt libertarianism";"against";"we need more government and less libertarianism.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A20461";"Homeschooling should be banned";"in favor of";"homeschooling does not compare to regular schooling.  home schooled children tend to learn the bare minimum, with the bare minimum of effort.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A18310";"We should prohibit flag burning";"in favor of";"the flag represents our country and the sacrifices so many have made to keep us free. it should be respected.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A23306";"We should end the use of economic sanctions";"in favor of";"economic sanctions end up hurting ordinary people more than the targeted governments";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A20260";"We should ban telemarketing";"against";"under any circumstance, telemarketing is a source of employment for many people. banning it will result to tens of thousands losing their jobs.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A19253";"Assisted suicide should be a criminal offence";"against";"Assisted suicide should not be a criminal offence as people should not be expected to live in vegetative states and need help to make their own decisions to die a reality.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A12169";"Homeopathy brings more harm than good";"in favor of";"homeopathic remedies are not medically tested and verified as safe.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A24460";"We should close Guantanamo Bay detention camp";"in favor of";"guantanamo bay has a bad reputation so close it and move the prisoners to another location";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A20238";"We should abandon marriage";"against";"marriage is still the ultimate expression of commitment, and provides a valuable legal framework for recognition and possible redress.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A18282";"Blockade of the Gaza Strip should be ended";"against";"The blockade of Gaza undermines the popularity and economic power of Hamas.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A12061";"We should ban targeted killing";"in favor of";"there is never a justifiable reason to kill someone.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A18238";"We should subsidize space exploration";"against";"space exploration is a waste of taxpayers money and should be funded by private enterprises.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A23204";"We should fight for the abolition of nuclear weapons";"against";"nuclear weapons are effective in creating a stand-off between counties that have them. this can result in less people dying.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A19113";"We should legalize prostitution";"in favor of";"we should legalize prostitution so that women as a whole are taught that their place in society is simply as a commodity to be used by someone with more money";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A21186";"We should ban telemarketing";"in favor of";"we should ban telemarketing because it is annoying and there is no way to tell if the offer is legitimate.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A19337";"We should legalize sex selection";"in favor of";"sex selection should be legal for parents to select the sex of the child.  parents with all boys or all girls should have the choice of selecting the other sex.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A21292";"We should legalize cannabis";"in favor of";"cannabis can help alleviate many medical issues.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A25478";"The vow of celibacy should be abandoned";"in favor of";"celibacy vows are unnatural, and can cause problems.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A25269";"We should limit executive compensation";"in favor of";"executive pay is out of control. when an executive can earn the same in a week as a manual worker earns in a year, then something is wrong.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A21154";"We should end racial profiling";"in favor of";"people should not be judged by their race";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A12359";"The vow of celibacy should be abandoned";"against";"celibacy is needed to connect people on a mental plane rather than purely physical";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A25045";"We should ban cosmetic surgery for minors";"in favor of";"cosmetic surgery for minors is dangerous as they may not be emotionally advanced enough to understand the long term implications and effects.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"C26007";"We should give up developing electric vehicles";"against";"The intelligence of electric cars is much higher than that of fuel cars.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A15011";"We should prohibit women in combat";"against";"Woman should be allowed in combat. They are as strong mentally and physically as men.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A18129";"We should cancel pride parades";"in favor of";"pride parades cause more trouble by singling out those who are different.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A19459";"We should legalize sex selection";"against";"it will result in more elective abortions and cause a gender imbalance";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
